Period,Type,Ex,Pay,Dps
2003,Yearly,2003-02-19,2003-03-07,0.08
2004,Yearly,2003-10-15,2003-11-07,0.16
FY2004 Q4,Quarterly,2004-08-23,2004-09-14,0.08
FY2005 Q1,Quarterly,2004-11-15,2004-12-02,0.08
Special,Special,2004-11-15,2004-12-02,3.0
FY2005 Q2,Quarterly,2005-02-15,2005-03-10,0.08
FY2005 Q3,Quarterly,2005-05-16,2005-06-09,0.08
FY2005 Q4,Quarterly,2005-08-15,2005-09-08,0.08
FY2006 Q1,Quarterly,2005-11-15,2005-12-08,0.08
FY2006 Q2,Quarterly,2006-02-15,2006-03-09,0.09
FY2006 Q3,Quarterly,2006-05-15,2006-06-08,0.09
FY2006 Q4,Quarterly,2006-08-15,2006-09-14,0.09
FY2007 Q1,Quarterly,2006-11-14,2006-12-14,0.1
FY2007 Q2,Quarterly,2007-02-13,2007-03-08,0.1
FY2007 Q3,Quarterly,2007-05-15,2007-06-14,0.1
FY2007 Q4,Quarterly,2007-08-14,2007-09-13,0.1
FY2008 Q1,Quarterly,2007-11-13,2007-12-13,0.11
FY2008 Q2,Quarterly,2008-02-19,2008-03-13,0.11
FY2008 Q3,Quarterly,2008-05-13,2008-06-12,0.11
FY2008 Q4,Quarterly,2008-08-19,2008-09-11,0.11
FY2009 Q1,Quarterly,2008-11-18,2008-12-11,0.13
FY2009 Q2,Quarterly,2009-02-17,2009-03-12,0.13
FY2009 Q3,Quarterly,2009-05-19,2009-06-18,0.13
FY2009 Q4,Quarterly,2009-08-18,2009-09-10,0.13
FY2010 Q1,Quarterly,2009-11-17,2009-12-10,0.13
FY2010 Q2,Quarterly,2010-02-16,2010-03-11,0.13
FY2010 Q3,Quarterly,2010-05-18,2010-06-10,0.13
FY2010 Q4,Quarterly,2010-08-17,2010-09-09,0.13
FY2011 Q1,Quarterly,2010-11-16,2010-12-09,0.16
FY2011 Q2,Quarterly,2011-02-15,2011-03-10,0.16
FY2011 Q3,Quarterly,2011-05-17,2011-06-09,0.16
FY2011 Q4,Quarterly,2011-08-16,2011-09-08,0.16
FY2012 Q1,Quarterly,2011-11-15,2011-12-08,0.2
FY2012 Q2,Quarterly,2012-02-14,2012-03-08,0.2
FY2012 Q3,Quarterly,2012-05-15,2012-06-14,0.2
FY2012 Q4,Quarterly,2012-08-14,2012-09-13,0.2
FY2013 Q1,Quarterly,2012-11-13,2012-12-13,0.23
FY2013 Q2,Quarterly,2013-02-19,2013-03-14,0.23
FY2013 Q3,Quarterly,2013-05-14,2013-06-13,0.23
FY2013 Q4,Quarterly,2013-08-13,2013-09-12,0.23
FY2014 Q1,Quarterly,2013-11-19,2013-12-12,0.28
FY2014 Q2,Quarterly,2014-02-18,2014-03-13,0.28
FY2014 Q3,Quarterly,2014-05-13,2014-06-12,0.28
FY2014 Q4,Quarterly,2014-08-19,2014-09-11,0.28
FY2015 Q1,Quarterly,2014-11-18,2014-12-11,0.31
FY2015 Q2,Quarterly,2015-02-17,2015-03-12,0.31
FY2015 Q3,Quarterly,2015-05-19,2015-06-11,0.31
FY2015 Q4,Quarterly,2015-08-18,2015-09-10,0.31
FY2016 Q1,Quarterly,2015-11-17,2015-12-10,0.36
FY2016 Q2,Quarterly,2016-02-16,2016-03-10,0.36
FY2016 Q3,Quarterly,2016-05-17,2016-06-09,0.36
FY2016 Q4,Quarterly,2016-08-16,2016-09-08,0.36
FY2017 Q1,Quarterly,2016-11-15,2016-12-08,0.39
FY2017 Q2,Quarterly,2017-02-14,2017-03-09,0.39
FY2017 Q3,Quarterly,2017-05-16,2017-06-08,0.39
FY2017 Q4,Quarterly,2017-08-15,2017-09-14,0.39
FY2018 Q1,Quarterly,2017-11-15,2017-12-14,0.42
FY2018 Q2,Quarterly,2018-02-14,2018-03-08,0.42
FY2018 Q3,Quarterly,2018-05-16,2018-06-14,0.42
FY2018 Q4,Quarterly,2018-08-15,2018-09-13,0.42
FY2019 Q1,Quarterly,2018-11-14,2018-12-13,0.46
FY2019 Q2,Quarterly,2019-02-20,2019-03-14,0.46
FY2019 Q3,Quarterly,2019-05-15,2019-06-13,0.46
FY2019 Q4,Quarterly,2019-08-14,2019-09-12,0.46
FY2020 Q1,Quarterly,2019-11-20,2019-12-12,0.51
FY2020 Q2,Quarterly,2020-02-19,2020-03-12,0.51
FY2020 Q3,Quarterly,2020-05-20,2020-06-11,0.51
FY2020 Q4,Quarterly,2020-08-19,2020-09-10,0.51
FY2021 Q1,Quarterly,2020-11-18,2020-12-10,0.56
FY2021 Q2,Quarterly,2021-02-17,2021-03-11,0.56
FY2021 Q3,Quarterly,2021-05-19,2021-06-10,0.56
FY2021 Q4,Quarterly,2021-08-18,2021-09-09,0.56
FY2022 Q1,Quarterly,2021-11-17,2021-12-09,0.62
FY2022 Q2,Quarterly,2022-02-16,2022-03-10,0.62
FY2022 Q3,Quarterly,2022-05-18,2022-06-09,0.62
FY2022 Q4,Quarterly,2022-08-17,2022-09-08,0.62
FY2023 Q1,Quarterly,2022-11-16,2022-12-08,0.68
FY2023 Q2,Quarterly,2023-02-15,2023-03-09,0.68
FY2023 Q3,Quarterly,2023-05-17,2023-06-08,0.68
FY2023 Q4,Quarterly,2023-08-16,2023-09-14,0.68
FY2024 Q1,Quarterly,2023-11-15,2023-12-14,0.75
FY2024 Q2,Quarterly,2024-02-14,2024-03-14,0.75
FY2024 Q3,Quarterly,2024-05-15,2024-06-13,0.75
FY2024 Q4,Quarterly,2024-08-15,2024-09-12,0.75
FY2025 Q1,Quarterly,2024-11-21,2024-12-12,0.83
FY2025 Q2,Quarterly,2025-02-20,2025-03-13,0.83
FY2025 Q3,Quarterly,2025-05-15,2025-06-12,0.83
FY2025 Q4,Quarterly,2025-08-21,2025-09-11,0.83
FY2026 Q1,Quarterly,2025-11-20,2025-12-11,0.91
FY2026 Q2,Quarterly,2026-02-19,2026-03-12,0.91
FY2026 Q3,Quarterly,2026-05-21,2026-06-11,0.91
FY2026 Q4,Quarterly,2026-08-20,2026-09-10,0.91
